category	ID	term	count	gene	logFC	adj_pval	zscore	P-MAGMA	B-MAGMA
REACTOME	REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN	50	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000108854,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.152	0.000220773	0	0.015632	0.257
CC	GOCC_DNA_PACKAGING_COMPLEX	GOCC_DNA_PACKAGING_COMPLEX	111	ENSG00000188486,ENSG00000203814,ENSG00000151503,ENSG00000270882,ENSG00000197061,ENSG00000274997,ENSG00000277075,ENSG00000124575,ENSG00000274641,ENSG00000278588,ENSG00000101189,ENSG00000197837,ENSG00000172977,ENSG00000276903,ENSG00000234289,ENSG00000121152,ENSG00000025770,ENSG00000275714,ENSG00000184270,ENSG00000183598,ENSG00000196787,ENSG00000203852,ENSG00000273802,ENSG00000184678,ENSG00000276180,ENSG00000277157,ENSG00000278677,ENSG00000203811,ENSG00000197153,ENSG00000184897,ENSG00000286522,ENSG00000184260,ENSG00000196747,ENSG00000275379,ENSG00000180596,ENSG00000273983,ENSG00000197903,ENSG00000287080,ENSG00000010292,ENSG00000273542,ENSG00000274618,ENSG00000185130,ENSG00000276966,ENSG00000168298,ENSG00000158406,ENSG00000197238,ENSG00000158373,ENSG00000278705,ENSG00000146918,ENSG00000288859,ENSG00000278828,ENSG00000273703,ENSG00000124635,ENSG00000277775,ENSG00000270276,ENSG00000187837,ENSG00000180573	-2.249158832	0.00000162	0	0.017258	0.223
REACTOME	REACTOME_HEDGEHOG_ON_STATE	REACTOME_HEDGEHOG_ON_STATE	73	ENSG00000121067,ENSG00000197170,ENSG00000166813,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000106012,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000134371,ENSG00000131467,ENSG00000100911,ENSG00000134874,ENSG00000064309,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000113712,ENSG00000041357,ENSG00000108854,ENSG00000198742,ENSG00000101843,ENSG00000036257,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	1.977	0.000325565	0	0.017883	0.19753
CC	GOCC_PROTEASOME_ACCESSORY_COMPLEX	GOCC_PROTEASOME_ACCESSORY_COMPLEX	22	ENSG00000197170,ENSG00000163636,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000131467,ENSG00000100911,ENSG00000185627,ENSG00000161057,ENSG00000108671,ENSG00000087191,ENSG00000095261,ENSG00000175166,ENSG00000103035,ENSG00000165916	2.080248408	0.003426573	0	0.01799	0.34633
HP	HP_OPTIC_DISC_PALLOR	HP_OPTIC_DISC_PALLOR	123	ENSG00000089123,ENSG00000113845,ENSG00000101247,ENSG00000125459,ENSG00000049167,ENSG00000072756,ENSG00000171204,ENSG00000164182,ENSG00000170445,ENSG00000023228,ENSG00000127980,ENSG00000164347,ENSG00000081087,ENSG00000198515,ENSG00000131174,ENSG00000116688,ENSG00000156709,ENSG00000168958,ENSG00000130347,ENSG00000169379,ENSG00000188107,ENSG00000164073,ENSG00000158864,ENSG00000087470,ENSG00000123545,ENSG00000145494,ENSG00000170264,ENSG00000225830,ENSG00000198888,ENSG00000119013,ENSG00000116903,ENSG00000081148,ENSG00000198836,ENSG00000173614,ENSG00000164953,ENSG00000164258,ENSG00000186687,ENSG00000224877,ENSG00000198840,ENSG00000136875,ENSG00000141385,ENSG00000198763,ENSG00000123552,ENSG00000103249	1.858183909	0.009061243	0	0.019517	0.15001
REACTOME	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	57	ENSG00000197170,ENSG00000113558,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000213341,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000144744,ENSG00000055130,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000072803,ENSG00000165916,ENSG00000129084	2.164	0.0000981	0	0.021468	0.2282
REACTOME	REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING	102	ENSG00000072401,ENSG00000197170,ENSG00000113558,ENSG00000158092,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000135341,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000213341,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000177889,ENSG00000109320,ENSG00000055208,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000145675,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000113263,ENSG00000149269,ENSG00000051382,ENSG00000055130,ENSG00000170315,ENSG00000095261,ENSG00000065675,ENSG00000082074,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000197943,ENSG00000072803,ENSG00000165916,ENSG00000129084,ENSG00000175104	1.764	0.002468553	0	0.021682	0.17622
CC	GOCC_RIBOSOME	GOCC_RIBOSOME	187	ENSG00000113048,ENSG00000169288,ENSG00000132676,ENSG00000135972,ENSG00000112996,ENSG00000115364,ENSG00000101181,ENSG00000158092,ENSG00000178694,ENSG00000114686,ENSG00000147677,ENSG00000090263,ENSG00000198015,ENSG00000181991,ENSG00000067248,ENSG00000146223,ENSG00000061794,ENSG00000143947,ENSG00000108256,ENSG00000163584,ENSG00000172172,ENSG00000136522,ENSG00000134056,ENSG00000135900,ENSG00000116251,ENSG00000138326,ENSG00000259494,ENSG00000175581,ENSG00000278845,ENSG00000132313,ENSG00000122026,ENSG00000182774,ENSG00000037241,ENSG00000185608,ENSG00000285219,ENSG00000107929,ENSG00000163319,ENSG00000106591,ENSG00000137154,ENSG00000089009,ENSG00000100823,ENSG00000135829,ENSG00000187522,ENSG00000243927,ENSG00000171863,ENSG00000242485,ENSG00000243147,ENSG00000109475,ENSG00000266472,ENSG00000089154,ENSG00000074071,ENSG00000197345,ENSG00000233927,ENSG00000138035,ENSG00000082515,ENSG00000182180,ENSG00000136897,ENSG00000143314,ENSG00000125691,ENSG00000197728,ENSG00000172590,ENSG00000254858,ENSG00000165502,ENSG00000114391,ENSG00000048544,ENSG00000110700,ENSG00000112306,ENSG00000125445,ENSG00000149792	1.779430563	0.000804078	0	0.022459	0.13003
REACTOME	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	50	ENSG00000197170,ENSG00000113558,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000055130,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.158	0.000216506	0	0.022889	0.23943
REACTOME	REACTOME_MAPK6_MAPK4_SIGNALING	REACTOME_MAPK6_MAPK4_SIGNALING	78	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000070831,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000142875,ENSG00000087191,ENSG00000149269,ENSG00000170315,ENSG00000095261,ENSG00000078687,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000150907,ENSG00000129084,ENSG00000089022	1.646	0.011337839	0	0.024427	0.18933
REACTOME	REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	63	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000105173,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000175305,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	1.843	0.00350509	0	0.024531	0.20844
REACTOME	REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	52	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000185627,ENSG00000041357,ENSG00000108854,ENSG00000198742,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.187	0.0000534	0	0.025884	0.23032
REACTOME	REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	88	ENSG00000170345,ENSG00000126456,ENSG00000168040,ENSG00000154589,ENSG00000105053,ENSG00000034152,ENSG00000071242,ENSG00000177606,ENSG00000112640,ENSG00000168884,ENSG00000164086,ENSG00000107968,ENSG00000108861,ENSG00000169032,ENSG00000076984,ENSG00000150991,ENSG00000131508,ENSG00000185386,ENSG00000100324,ENSG00000134070,ENSG00000127666,ENSG00000129465,ENSG00000120875,ENSG00000269335,ENSG00000068305,ENSG00000004139,ENSG00000167207,ENSG00000173039,ENSG00000185507,ENSG00000105568,ENSG00000102882,ENSG00000166484	-1.661	0.012501078	0	0.026225	0.18358
BP	GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT	GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT	136	ENSG00000140464,ENSG00000171867,ENSG00000121966,ENSG00000164096,ENSG00000131042,ENSG00000145362,ENSG00000164949,ENSG00000139644,ENSG00000100311,ENSG00000185482,ENSG00000143153,ENSG00000090020,ENSG00000102879,ENSG00000198835,ENSG00000277632,ENSG00000165995,ENSG00000157388,ENSG00000163576,ENSG00000141480,ENSG00000275302,ENSG00000125510,ENSG00000124181,ENSG00000196296,ENSG00000089041,ENSG00000164850,ENSG00000108405,ENSG00000136717,ENSG00000160014,ENSG00000135124,ENSG00000089060,ENSG00000131981,ENSG00000113739,ENSG00000114353,ENSG00000067191,ENSG00000162430,ENSG00000167535,ENSG00000184381,ENSG00000171791,ENSG00000100300	-1.557308419	0.043500452	0	0.027671	0.12244
CC	GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	160	ENSG00000113048,ENSG00000169288,ENSG00000132676,ENSG00000135972,ENSG00000112996,ENSG00000115364,ENSG00000178694,ENSG00000114686,ENSG00000090263,ENSG00000198015,ENSG00000181991,ENSG00000067248,ENSG00000146223,ENSG00000061794,ENSG00000143947,ENSG00000172172,ENSG00000136522,ENSG00000135900,ENSG00000116251,ENSG00000138326,ENSG00000259494,ENSG00000175581,ENSG00000278845,ENSG00000132313,ENSG00000122026,ENSG00000182774,ENSG00000037241,ENSG00000185608,ENSG00000163319,ENSG00000106591,ENSG00000137154,ENSG00000089009,ENSG00000243927,ENSG00000171863,ENSG00000242485,ENSG00000243147,ENSG00000109475,ENSG00000266472,ENSG00000074071,ENSG00000197345,ENSG00000233927,ENSG00000082515,ENSG00000182180,ENSG00000136897,ENSG00000143314,ENSG00000125691,ENSG00000197728,ENSG00000172590,ENSG00000254858,ENSG00000165502,ENSG00000114391,ENSG00000048544,ENSG00000110700,ENSG00000112306,ENSG00000125445,ENSG00000149792	1.584622644	0.019718183	0	0.027775	0.13177
BP	GOBP_REGULATION_OF_URINE_VOLUME	GOBP_REGULATION_OF_URINE_VOLUME	10	ENSG00000169418,ENSG00000275023,ENSG00000148926,ENSG00000125510,ENSG00000174233,ENSG00000078401,ENSG00000114353	-2.012281234	0.012593757	0	0.029655	0.40126
REACTOME	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	42	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.369	0.0000163	0	0.031195	0.23006
REACTOME	REACTOME_SENSORY_PROCESSING_OF_SOUND	REACTOME_SENSORY_PROCESSING_OF_SOUND	49	ENSG00000130830,ENSG00000184009,ENSG00000101152,ENSG00000147044,ENSG00000186765,ENSG00000102003,ENSG00000197879,ENSG00000091536,ENSG00000197694,ENSG00000165995,ENSG00000136425,ENSG00000157388,ENSG00000157782,ENSG00000117013,ENSG00000144488,ENSG00000105649,ENSG00000147065,ENSG00000092820,ENSG00000177106,ENSG00000100106	-1.787	0.012189848	0	0.031445	0.21488
BP	GOBP_NEURON_PROJECTION_REGENERATION	GOBP_NEURON_PROJECTION_REGENERATION	32	ENSG00000177606,ENSG00000169032,ENSG00000148926,ENSG00000030582,ENSG00000142949,ENSG00000102572,ENSG00000116984,ENSG00000138834,ENSG00000105426,ENSG00000143418,ENSG00000177169,ENSG00000171791,ENSG00000100300	-1.812200955	0.049999652	0	0.032133	0.24076
CC	GOCC_PROTEIN_DNA_COMPLEX	GOCC_PROTEIN_DNA_COMPLEX	174	ENSG00000125952,ENSG00000188486,ENSG00000203814,ENSG00000270882,ENSG00000197061,ENSG00000274997,ENSG00000277075,ENSG00000143799,ENSG00000124575,ENSG00000274641,ENSG00000130522,ENSG00000278588,ENSG00000101189,ENSG00000166848,ENSG00000197837,ENSG00000172977,ENSG00000276903,ENSG00000234289,ENSG00000275714,ENSG00000170345,ENSG00000184270,ENSG00000116044,ENSG00000183598,ENSG00000196787,ENSG00000203852,ENSG00000273802,ENSG00000184678,ENSG00000276180,ENSG00000277157,ENSG00000278677,ENSG00000203811,ENSG00000197153,ENSG00000184897,ENSG00000286522,ENSG00000062822,ENSG00000184260,ENSG00000196747,ENSG00000275379,ENSG00000180596,ENSG00000273983,ENSG00000197903,ENSG00000287080,ENSG00000163882,ENSG00000147536,ENSG00000185591,ENSG00000273542,ENSG00000274618,ENSG00000185130,ENSG00000276966,ENSG00000092330,ENSG00000168298,ENSG00000158406,ENSG00000197238,ENSG00000185024,ENSG00000158373,ENSG00000278705,ENSG00000213676,ENSG00000288859,ENSG00000278828,ENSG00000273703,ENSG00000124635,ENSG00000277775,ENSG00000270276,ENSG00000187837,ENSG00000178971,ENSG00000175482,ENSG00000180573,ENSG00000175197	-1.848419011	0.000392614	0	0.0333	0.13522
CC	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	245	ENSG00000113048,ENSG00000132676,ENSG00000135972,ENSG00000100575,ENSG00000174173,ENSG00000112996,ENSG00000115364,ENSG00000178694,ENSG00000114686,ENSG00000134809,ENSG00000131844,ENSG00000090263,ENSG00000106554,ENSG00000265354,ENSG00000198015,ENSG00000150768,ENSG00000181991,ENSG00000198786,ENSG00000163541,ENSG00000154174,ENSG00000134375,ENSG00000061794,ENSG00000164919,ENSG00000023228,ENSG00000172172,ENSG00000156502,ENSG00000006530,ENSG00000132305,ENSG00000100216,ENSG00000007923,ENSG00000091140,ENSG00000136522,ENSG00000134056,ENSG00000135900,ENSG00000131174,ENSG00000140740,ENSG00000004779,ENSG00000099800,ENSG00000156467,ENSG00000259494,ENSG00000198712,ENSG00000113013,ENSG00000075336,ENSG00000175581,ENSG00000110435,ENSG00000278845,ENSG00000184903,ENSG00000198938,ENSG00000132313,ENSG00000152234,ENSG00000172340,ENSG00000119421,ENSG00000137992,ENSG00000158864,ENSG00000154518,ENSG00000145494,ENSG00000185608,ENSG00000165264,ENSG00000198888,ENSG00000163319,ENSG00000116459,ENSG00000106591,ENSG00000119013,ENSG00000083123,ENSG00000250479,ENSG00000100347,ENSG00000164258,ENSG00000110955,ENSG00000243927,ENSG00000168291,ENSG00000215021,ENSG00000178741,ENSG00000198840,ENSG00000131828,ENSG00000128609,ENSG00000154723,ENSG00000242485,ENSG00000159199,ENSG00000164405,ENSG00000243147,ENSG00000171109,ENSG00000117118,ENSG00000130414,ENSG00000141385,ENSG00000198763,ENSG00000165487,ENSG00000266472,ENSG00000155008,ENSG00000184752,ENSG00000198727,ENSG00000074071,ENSG00000198804,ENSG00000197345,ENSG00000138035,ENSG00000082515,ENSG00000126953,ENSG00000182180,ENSG00000136897,ENSG00000158882,ENSG00000124172,ENSG00000143314,ENSG00000074582,ENSG00000172590,ENSG00000127184,ENSG00000072506,ENSG00000254858,ENSG00000165629,ENSG00000150779,ENSG00000048544,ENSG00000167085,ENSG00000101365	2.073293512	9.07E-08	0	0.033388	0.10037
BP	GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS	GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS	111	ENSG00000069345,ENSG00000134001,ENSG00000175054,ENSG00000170633,ENSG00000110172,ENSG00000047410,ENSG00000174953,ENSG00000168259,ENSG00000096717,ENSG00000105967,ENSG00000070785,ENSG00000001084,ENSG00000144231,ENSG00000086061,ENSG00000103423,ENSG00000204389,ENSG00000080824,ENSG00000198793,ENSG00000105821,ENSG00000196591,ENSG00000064012,ENSG00000204388,ENSG00000116030,ENSG00000166575,ENSG00000112096,ENSG00000165280,ENSG00000198712,ENSG00000140403,ENSG00000144381,ENSG00000111361,ENSG00000105993,ENSG00000155875,ENSG00000162129,ENSG00000111728,ENSG00000096384,ENSG00000132356,ENSG00000119718,ENSG00000149196,ENSG00000115008,ENSG00000104231,ENSG00000169245,ENSG00000151929,ENSG00000099622,ENSG00000145191	1.658163524	0.025544974	0	0.036065	0.13183
MF	GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY	GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY	243	ENSG00000196890,ENSG00000167460,ENSG00000124164,ENSG00000115271,ENSG00000175550,ENSG00000131471,ENSG00000005884,ENSG00000196235,ENSG00000125952,ENSG00000188486,ENSG00000203814,ENSG00000140044,ENSG00000270882,ENSG00000197061,ENSG00000204681,ENSG00000274997,ENSG00000277075,ENSG00000116016,ENSG00000087274,ENSG00000064995,ENSG00000079462,ENSG00000129245,ENSG00000274641,ENSG00000138823,ENSG00000278588,ENSG00000197837,ENSG00000276903,ENSG00000234289,ENSG00000185624,ENSG00000077044,ENSG00000275714,ENSG00000184270,ENSG00000162772,ENSG00000104472,ENSG00000100311,ENSG00000183598,ENSG00000196787,ENSG00000203852,ENSG00000172216,ENSG00000143153,ENSG00000273802,ENSG00000184678,ENSG00000276180,ENSG00000277157,ENSG00000278677,ENSG00000203811,ENSG00000025039,ENSG00000197153,ENSG00000286522,ENSG00000184260,ENSG00000196747,ENSG00000275379,ENSG00000180596,ENSG00000273983,ENSG00000197903,ENSG00000287080,ENSG00000140416,ENSG00000071564,ENSG00000134070,ENSG00000273542,ENSG00000274618,ENSG00000185130,ENSG00000276966,ENSG00000269335,ENSG00000158406,ENSG00000197238,ENSG00000068305,ENSG00000158373,ENSG00000126804,ENSG00000278705,ENSG00000134107,ENSG00000288859,ENSG00000143437,ENSG00000278828,ENSG00000128272,ENSG00000137575,ENSG00000273703,ENSG00000105698,ENSG00000124635,ENSG00000277775,ENSG00000270276,ENSG00000105568,ENSG00000141736,ENSG00000123095,ENSG00000197063,ENSG00000126261,ENSG00000180573,ENSG00000171791,ENSG00000102901,ENSG00000175197	-1.614917186	0.008269139	0	0.036553	0.10373
CC	GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	23	ENSG00000113048,ENSG00000132676,ENSG00000135972,ENSG00000090263,ENSG00000198015,ENSG00000181991,ENSG00000061794,ENSG00000163319,ENSG00000243927,ENSG00000266472,ENSG00000074071,ENSG00000182180,ENSG00000048544,ENSG00000125445,ENSG00000175110,ENSG00000120333	1.830774132	0.027844373	0	0.037618	0.30836
REACTOME	REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	55	ENSG00000197170,ENSG00000127922,ENSG00000164815,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000125885,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000112312,ENSG00000115942,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.107	0.000139124	0	0.037851	0.20411
BP	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	241	ENSG00000135870,ENSG00000049883,ENSG00000118246,ENSG00000119707,ENSG00000108654,ENSG00000138399,ENSG00000135362,ENSG00000174953,ENSG00000129315,ENSG00000198791,ENSG00000198492,ENSG00000092199,ENSG00000056586,ENSG00000127804,ENSG00000100320,ENSG00000137776,ENSG00000048740,ENSG00000134318,ENSG00000144231,ENSG00000181163,ENSG00000083520,ENSG00000076770,ENSG00000114503,ENSG00000096063,ENSG00000163510,ENSG00000142864,ENSG00000100722,ENSG00000008128,ENSG00000134371,ENSG00000117592,ENSG00000167005,ENSG00000113300,ENSG00000110713,ENSG00000123737,ENSG00000134644,ENSG00000109971,ENSG00000174720,ENSG00000144535,ENSG00000121274,ENSG00000140718,ENSG00000067900,ENSG00000159140,ENSG00000154229,ENSG00000122692,ENSG00000054118,ENSG00000149187,ENSG00000185728,ENSG00000108561,ENSG00000115875,ENSG00000107929,ENSG00000102317,ENSG00000136937,ENSG00000115053,ENSG00000084093,ENSG00000152518,ENSG00000120948,ENSG00000100823,ENSG00000135829,ENSG00000183508,ENSG00000061936,ENSG00000122566,ENSG00000111786,ENSG00000104852,ENSG00000188529,ENSG00000105939,ENSG00000197451,ENSG00000145388,ENSG00000161547,ENSG00000112081,ENSG00000143368,ENSG00000136527,ENSG00000174840,ENSG00000134815,ENSG00000078687,ENSG00000153187,ENSG00000141232,ENSG00000175324,ENSG00000099783,ENSG00000204120,ENSG00000136319,ENSG00000151014,ENSG00000133226,ENSG00000126226,ENSG00000138035,ENSG00000099622,ENSG00000147274,ENSG00000111605,ENSG00000076242,ENSG00000198730,ENSG00000165119,ENSG00000100461,ENSG00000172239,ENSG00000166477,ENSG00000065978,ENSG00000124279,ENSG00000131051,ENSG00000248333,ENSG00000165819,ENSG00000003756	1.671769333	0.002041203	0	0.03802	0.095975
REACTOME	REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	84	ENSG00000170345,ENSG00000154589,ENSG00000105053,ENSG00000034152,ENSG00000071242,ENSG00000177606,ENSG00000112640,ENSG00000168884,ENSG00000164086,ENSG00000107968,ENSG00000108861,ENSG00000169032,ENSG00000076984,ENSG00000150991,ENSG00000185386,ENSG00000100324,ENSG00000134070,ENSG00000120875,ENSG00000269335,ENSG00000068305,ENSG00000167207,ENSG00000185187,ENSG00000173039,ENSG00000105568,ENSG00000102882,ENSG00000174516,ENSG00000166484	-1.583	0.032690385	0	0.038409	0.16034
REACTOME	REACTOME_SIGNALING_BY_NTRKS	REACTOME_SIGNALING_BY_NTRKS	107	ENSG00000164885,ENSG00000137218,ENSG00000122877,ENSG00000171223,ENSG00000117318,ENSG00000151490,ENSG00000067560,ENSG00000168610,ENSG00000126767,ENSG00000107263,ENSG00000179388,ENSG00000130522,ENSG00000125740,ENSG00000166886,ENSG00000170345,ENSG00000126934,ENSG00000105053,ENSG00000120738,ENSG00000106976,ENSG00000177885,ENSG00000111642,ENSG00000071242,ENSG00000139352,ENSG00000188986,ENSG00000112640,ENSG00000143622,ENSG00000164086,ENSG00000108861,ENSG00000169032,ENSG00000174775,ENSG00000185386,ENSG00000042753,ENSG00000124181,ENSG00000120875,ENSG00000105426,ENSG00000068305,ENSG00000104903,ENSG00000188130,ENSG00000105568,ENSG00000102882,ENSG00000099942,ENSG00000160271,ENSG00000166484	-1.592	0.019152956	0	0.038448	0.14294
REACTOME	REACTOME_ERK_MAPK_TARGETS	REACTOME_ERK_MAPK_TARGETS	20	ENSG00000105053,ENSG00000071242,ENSG00000112640,ENSG00000164086,ENSG00000108861,ENSG00000185386,ENSG00000120875,ENSG00000068305,ENSG00000105568,ENSG00000102882,ENSG00000166484	-2.039	0.004179436	0	0.038735	0.32896
KEGG	KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY	67	ENSG00000148660,ENSG00000095015,ENSG00000183943,ENSG00000188089,ENSG00000126934,ENSG00000034152,ENSG00000177885,ENSG00000198909,ENSG00000177606,ENSG00000169032,ENSG00000113070,ENSG00000174775,ENSG00000076984,ENSG00000185386,ENSG00000157388,ENSG00000163932,ENSG00000137841,ENSG00000149782,ENSG00000160014,ENSG00000128272,ENSG00000174233,ENSG00000188130,ENSG00000096433,ENSG00000184381,ENSG00000102882,ENSG00000121281,ENSG00000166484	-1.785046525	0.017390342	0	0.0393	0.16867
