;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;
ENSRNOG00000004629;Fkbp3;4844.64957;1.526199787;0.609943831;0.232697159;2.621191569;0.008762301;0.437893914;FKBP prolyl isomerase 3;;;;
ENSRNOG00000016220;Rpl12;1590.401339;0.609228416;-0.714944861;0.273121288;-2.61768267;0.008852909;0.441030769;ribosomal protein L12;;;;
ENSRNOG00000016551;Bcl2l11;322.2039264;0.648534758;-0.624744198;0.239112363;-2.612764103;0.008981327;0.443722581;Bcl2-like 11;;;;
ENSRNOG00000017418;Rps3;4967.399921;0.705012399;-0.504279465;0.192922116;-2.613901798;0.008951476;0.443722581;ribosomal protein S3;;;;
ENSRNOG00000057367;Glud1;13961.45451;0.771681818;-0.373921982;0.143133658;-2.6123973;0.00899097;0.443722581;glutamate dehydrogenase 1;;;;
ENSRNOG00000015397;Cpne7;971.2843514;0.581858978;-0.781258556;0.299440599;-2.609060224;0.009079126;0.444062669;copine 7;;;;
ENSRNOG00000022921;Dact2;1580.878781;0.623858699;-0.680708792;0.260801891;-2.610060795;0.009052613;0.444062669;dishevelled-binding antagonist of beta-catenin 2;;;;
ENSRNOG00000032677;Tssc4;3122.777441;0.596461954;-0.745497977;0.285745961;-2.608953686;0.009081953;0.444062669;tumor suppressing subtransferable candidate 4;;;;
ENSRNOG00000000527;Mtch1;10661.5158;0.643223356;-0.636608302;0.245674902;-2.591263076;0.009562436;0.445504088;mitochondrial carrier 1;;;;
ENSRNOG00000001353;Ap4m1;1443.818822;0.698127087;-0.518438406;0.200719077;-2.582905494;0.009797216;0.445504088;adaptor related protein complex 4 subunit mu 1;;;;
ENSRNOG00000002271;Slain2;2184.22148;1.288939044;0.366184037;0.141698702;2.584244112;0.009759269;0.445504088;SLAIN motif family; member 2;;;
ENSRNOG00000003792;Med14;3670.937417;1.407482761;0.493117252;0.191021812;2.581470921;0.009838028;0.445504088;mediator complex subunit 14;;;;
ENSRNOG00000006589;Mif;1535.621912;0.705459905;-0.503364005;0.195521594;-2.574467579;0.01003945;0.445504088;macrophage migration inhibitory factor;;;;
ENSRNOG00000007412;Dok1;41.5094697;0.422697382;-1.242302917;0.480763776;-2.584019388;0.00976563;0.445504088;docking protein 1;;;;
ENSRNOG00000007523;Cct6b;53.17630222;2.154117884;1.107097203;0.425542426;2.601614164;0.009278618;0.445504088;chaperonin containing TCP1 subunit 6B;;;;
ENSRNOG00000008332;Smo;386.6772213;0.676916923;-0.56294931;0.217479096;-2.58852147;0.009638894;0.445504088;smoothened; frizzled class receptor;;;
ENSRNOG00000008465;Tmem176b;1491.762206;0.697146044;-0.520467179;0.202077849;-2.575577587;0.010007282;0.445504088;transmembrane protein 176B;;;;
ENSRNOG00000013090;Gadd45g;283.3772346;0.644459332;-0.633838773;0.246034984;-2.576214009;0.00998888;0.445504088;growth arrest and DNA-damage-inducible; gamma;;;
ENSRNOG00000015320;Atp5mc2;2190.039404;0.656657665;-0.606786647;0.2330755;-2.603390947;0.009230663;0.445504088;ATP synthase membrane subunit c locus 2;;;;
ENSRNOG00000015434;Midn;1087.842629;1.327205432;0.408391696;0.156825068;2.604122551;0.009210981;0.445504088;midnolin;;;;
ENSRNOG00000016177;Scara3;2113.453285;0.697932651;-0.518840269;0.200312276;-2.590157124;0.009593213;0.445504088;scavenger receptor class A; member 3;;;
ENSRNOG00000016870;Pcif1;850.304191;0.697771856;-0.519172686;0.199621003;-2.600791895;0.009300886;0.445504088;phosphorylated CTD interacting factor 1;;;;
ENSRNOG00000017291;Sord;1120.430198;0.768232565;-0.380384975;0.147725987;-2.574936096;0.010025861;0.445504088;sorbitol dehydrogenase;;;;
ENSRNOG00000017765;Net1;980.9563993;0.661594529;-0.595980792;0.229655231;-2.595110888;0.009456041;0.445504088;neuroepithelial cell transforming 1;;;;
ENSRNOG00000018047;Gorasp1;861.9033957;0.672426458;-0.572551603;0.220887441;-2.592051413;0.009540551;0.445504088;golgi reassembly stacking protein 1;;;;
ENSRNOG00000018379;Zfp688;182.311153;0.651101431;-0.619045786;0.23976128;-2.581925599;0.009825076;0.445504088;zinc finger protein 688;;;;
ENSRNOG00000018645;Rpsa;9746.770217;0.76652862;-0.383588437;0.147719777;-2.596730411;0.009411576;0.445504088;ribosomal protein SA;;;;
ENSRNOG00000018798;Bcan;8665.660979;0.680213988;-0.55593942;0.215769954;-2.576537698;0.009979532;0.445504088;brevican;;;;
ENSRNOG00000019109;Thap11;529.2794299;0.703443317;-0.507493918;0.196046314;-2.588642999;0.009635493;0.445504088;THAP domain containing 11;;;;
ENSRNOG00000021395;LOC100363452;1194.9767;0.716181883;-0.481602072;0.186373115;-2.584074816;0.009764061;0.445504088;ribosomal protein S8-like;;;;
ENSRNOG00000023561;Ano2;140.7728026;0.440623998;-1.182380022;0.454720855;-2.600232665;0.009316057;0.445504088;anoctamin 2;;;;
ENSRNOG00000024808;Stk39;3258.141196;1.281487734;0.35781967;0.138781325;2.578298417;0.009928821;0.445504088;serine threonine kinase 39;;;;
ENSRNOG00000027582;Dpysl4;1409.536993;0.703468428;-0.507442418;0.197033352;-2.575413821;0.010012022;0.445504088;dihydropyrimidinase-like 4;;;;
ENSRNOG00000031222;RGD1561327;14591.94024;1.489897784;0.575213357;0.220932699;2.603568232;0.00922589;0.445504088;similar to melanoma antigen family A;10;;;
ENSRNOG00000062337;LOC120102105;670395.0885;0.229147648;-2.125650614;0.823801915;-2.580293363;0.009871642;0.445504088;18S ribosomal RNA;;;;
ENSRNOG00000062859;RGD1565622;323.9380922;1.513704852;0.59808393;0.230943119;2.589745624;0.009604688;0.445504088;RGD1565622;;;;
ENSRNOG00000064515;NA;892.2981642;1.575113472;0.655455765;0.251480727;2.606385677;0.009150336;0.445504088;NA;;;;
ENSRNOG00000066794;NA;695.4569505;0.647634859;-0.626747453;0.242861433;-2.58067922;0.009860616;0.445504088;NA;;;;
ENSRNOG00000067948;NA;37.09268448;0.255922404;-1.966221647;0.762969397;-2.577064892;0.009964324;0.445504088;NA;;;;
ENSRNOG00000068017;Fam78b;1608.9188;1.368847287;0.452961504;0.175360225;2.583034468;0.009793554;0.445504088;family with sequence similarity 78; member B;;;
ENSRNOG00000069600;Rac3;522.2580618;0.530099688;-0.915664403;0.353038321;-2.593668582;0.009495797;0.445504088;Rac family small GTPase 3;;;;
ENSRNOG00000047656;Gaa;4545.716523;0.641652676;-0.640135512;0.24896056;-2.571232612;0.010133724;0.448431422;alpha glucosidase;;;;
ENSRNOG00000059572;Tsen34;1165.316019;0.700509026;-0.513524455;0.199864631;-2.569361333;0.010188616;0.449604605;tRNA splicing endonuclease subunit 34;;;;
ENSRNOG00000064950;LOC120101769;857.5979996;1.435653102;0.521707191;0.203417637;2.564709722;0.010326215;0.454410843;protein NDRG3-like;;;;
ENSRNOG00000019987;Scand1;415.0656733;0.491467498;-1.024832085;0.400252535;-2.560463695;0.010453258;0.456173553;SCAN domain-containing 1;;;;
ENSRNOG00000022772;Prickle1;3559.552681;1.270417823;0.345303057;0.134906883;2.559565902;0.010480298;0.456173553;prickle planar cell polarity protein 1;;;;
ENSRNOG00000033299;ATP8;72797.16876;1.622129474;0.697888977;0.272663194;2.559527619;0.010481453;0.456173553;ATPase subunit 8;;;;
ENSRNOG00000066286;NA;505.2599016;1.457850651;0.543842931;0.212334969;2.561249953;0.010429629;0.456173553;NA;;;;
ENSRNOG00000009341;Hivep3;4263.695053;1.340496508;0.422767462;0.165310817;2.557409552;0.010545498;0.456452941;HIVEP zinc finger 3;;;;
ENSRNOG00000019892;Lrrfip1;3022.299831;1.353953367;0.43717805;0.170912308;2.55790853;0.010530379;0.456452941;LRR binding FLII interacting protein 1;;;;
ENSRNOG00000005854;Angpt1;391.5893035;0.54263244;-0.881952797;0.345129515;-2.555425597;0.010605803;0.45756698;angiopoietin 1;;;;
ENSRNOG00000009620;Cybrd1;90.58392267;0.470690496;-1.087149372;0.425554562;-2.554665067;0.010629002;0.45756698;cytochrome b reductase 1;;;;
ENSRNOG00000004351;Slc25a29;348.298683;0.600975384;-0.734622195;0.287990792;-2.55085307;0.010745962;0.461348312;solute carrier family 25 member 29;;;;
ENSRNOG00000005049;Tbr1;5774.06468;1.405358909;0.490938622;0.192607984;2.548900679;0.010806307;0.461438052;T-box brain transcription factor 1;;;;
ENSRNOG00000028984;NA;40.15764488;2.318345527;1.213095602;0.475819198;2.549488562;0.010788105;0.461438052;NA;;;;
ENSRNOG00000001256;Atxn2;4728.302552;1.321871891;0.402582365;0.15800992;2.547829688;0.010839538;0.46161278;ataxin 2;;;;
ENSRNOG00000001843;Bcl6;948.5379763;1.413859068;0.499638321;0.196280802;2.545528217;0.010911254;0.462414456;BCL6; transcription repressor;;;
ENSRNOG00000001874;Slc7a4;768.0110016;0.590596824;-0.759754496;0.298486922;-2.545352713;0.010916741;0.462414456;solute carrier family 7; member 4;;;
ENSRNOG00000007925;Pak6;2422.098979;0.70249559;-0.509438926;0.200453596;-2.541430713;0.011039983;0.465147348;p21 (RAC1) activated kinase 6;;;;
ENSRNOG00000008296;Tpgs1;660.0268597;0.634166226;-0.657067049;0.258523881;-2.541610653;0.011034301;0.465147348;tubulin polyglutamylase complex subunit 1;;;;
ENSRNOG00000015727;Loxl4;51.91765127;0.449142583;-1.154754584;0.455200401;-2.536804847;0.01118693;0.468844814;lysyl oxidase-like 4;;;;
ENSRNOG00000022540;Trex1;358.5822877;0.639607818;-0.644740522;0.254084892;-2.537500421;0.011164723;0.468844814;three prime repair exonuclease 1;;;;
ENSRNOG00000046744;Ankrd29;737.2152087;1.373398454;0.457750245;0.180645738;2.533966481;0.011277952;0.471412438;ankyrin repeat domain 29;;;;
ENSRNOG00000006118;Klf10;1243.910846;1.4850894;0.570549782;0.225280898;2.532615007;0.011321522;0.471988308;KLF transcription factor 10;;;;
ENSRNOG00000005726;Pclo;25041.37261;1.432410956;0.518445458;0.204808434;2.531367721;0.011361866;0.472427002;piccolo (presynaptic cytomatrix protein);;;;
ENSRNOG00000055382;Hcn1;2955.249493;1.39840881;0.483786179;0.191225354;2.529926965;0.011408627;0.473129507;hyperpolarization-activated cyclic nucleotide-gated potassium channel 1;;;;
ENSRNOG00000019383;Tef;9161.328093;0.69335515;-0.528333576;0.209216862;-2.525291566;0.011560233;0.47816506;TEF transcription factor; PAR bZIP family member;;;
ENSRNOG00000000840;Atp6v1g2;10807.08035;1.385382349;0.470284198;0.186685605;2.519124058;0.01176472;0.482847414;ATPase H+ transporting V1 subunit G2;;;;
ENSRNOG00000019719;Kcna5;172.8869125;0.653471165;-0.613804517;0.243721117;-2.518470804;0.011786565;0.482847414;potassium voltage-gated channel subfamily A member 5;;;;
ENSRNOG00000021824;Dnajb1;1697.307965;0.753094569;-0.409097053;0.162455599;-2.518208395;0.011795351;0.482847414;DnaJ heat shock protein family (Hsp40) member B1;;;;
ENSRNOG00000067542;NA;17788.40177;0.714155098;-0.485690667;0.192843615;-2.51857271;0.011783155;0.482847414;NA;;;;
ENSRNOG00000048321;Tnfsf8;54.68560184;2.523632919;1.335502075;0.531451351;2.512933825;0.011973179;0.488863672;TNF superfamily member 8;;;;
ENSRNOG00000020426;Erf;1220.900082;0.574534237;-0.799535229;0.318437841;-2.510804707;0.012045632;0.48999744;Ets2 repressor factor;;;;
ENSRNOG00000042731;Slc25a18;2452.532966;0.742193177;-0.430133357;0.171391838;-2.509649021;0.012085121;0.48999744;solute carrier family 25 member 18;;;;
ENSRNOG00000049269;NA;949.5323448;0.641048466;-0.641494659;0.255636946;-2.509397287;0.012093738;0.48999744;NA;;;;
ENSRNOG00000002947;Dpt;46.18689654;2.909960302;1.540999472;0.614392724;2.508166864;0.012135934;0.49045273;dermatopontin;;;;
ENSRNOG00000019294;Stk16;1126.553132;0.732281985;-0.449528792;0.179450639;-2.50502753;0.012244186;0.493568445;serine/threonine kinase 16;;;;
ENSRNOG00000011568;Rspo3;513.2757001;1.508669845;0.593277123;0.237467212;2.498353847;0.012477158;0.495396335;R-spondin 3;;;;
ENSRNOG00000017372;Higd2a;646.0274631;0.684017365;-0.547895145;0.219213843;-2.49936381;0.012441651;0.495396335;HIG1 hypoxia inducible domain family; member 2A;;;
ENSRNOG00000029185;Rasa1;4295.67177;1.44689811;0.532963331;0.213138277;2.500551934;0.012399995;0.495396335;RAS p21 protein activator 1;;;;
ENSRNOG00000032878;Cxxc5;3906.923413;1.241605548;0.312206909;0.12480158;2.501626249;0.012362436;0.495396335;CXXC finger protein 5;;;;
ENSRNOG00000037632;LOC688553;39.4860581;0.389118176;-1.361719725;0.54409899;-2.502705849;0.012324793;0.495396335;hypothetical protein LOC688553;;;;
ENSRNOG00000049442;NA;455.0741672;0.608269325;-0.717217843;0.287008294;-2.498944662;0.012456376;0.495396335;NA;;;;
ENSRNOG00000021614;Kmt2e;7234.960295;1.366385139;0.450364189;0.180547469;2.494436455;0.012615731;0.499646038;lysine methyltransferase 2E;;;;
ENSRNOG00000025310;Pop7;430.2617337;0.680131162;-0.556115101;0.22312137;-2.492433163;0.012687121;0.499973544;POP7 homolog; ribonuclease P/MRP subunit;;;
ENSRNOG00000046242;Klf7;1824.576088;1.269289547;0.34402121;0.13802398;2.492474202;0.012685655;0.499973544;KLF transcription factor 7;;;;
ENSRNOG00000011251;Hcrtr2;180.2568955;1.601102471;0.679065644;0.272727472;2.489905543;0.012777705;0.502293801;hypocretin receptor 2;;;;
ENSRNOG00000036831;Gtsf1;27.77588777;0.33518434;-1.576973349;0.633672821;-2.488623933;0.012823853;0.502860109;gametocyte specific factor 1;;;;
ENSRNOG00000000185;Mpst;304.5208064;0.622099351;-0.684783093;0.281507241;-2.432559427;0.014992531;0.506013586;mercaptopyruvate sulfurtransferase;;;;
ENSRNOG00000001115;Slc29a4;264.8669011;0.652694495;-0.615520224;0.250832462;-2.453909755;0.014131244;0.506013586;solute carrier family 29 member 4;;;;
ENSRNOG00000001223;Pttg1ip;2300.02837;0.709911938;-0.494288021;0.202203111;-2.444512442;0.014504808;0.506013586;PTTG1 interacting protein;;;;
ENSRNOG00000002667;Lamc2;515.9620638;1.554872172;0.63679598;0.263321383;2.418322331;0.015592258;0.506013586;laminin subunit gamma 2;;;;
ENSRNOG00000002832;Slc16a2;1403.426982;0.723222997;-0.467487541;0.188586773;-2.47889889;0.013178866;0.506013586;solute carrier family 16 member 2;;;;
ENSRNOG00000003334;Klhl21;375.5855667;0.54895183;-0.865248535;0.355377508;-2.434730716;0.014902876;0.506013586;kelch-like family member 21;;;;
ENSRNOG00000003463;Srebf1;1700.676922;0.639083699;-0.645923205;0.26560636;-2.431881545;0.015020619;0.506013586;sterol regulatory element binding transcription factor 1;;;;
ENSRNOG00000004731;Ano3;6220.317052;1.336124572;0.418054522;0.173055753;2.415721611;0.015704063;0.506013586;anoctamin 3;;;;
ENSRNOG00000004773;Yaf2;3404.821832;1.415123373;0.500927835;0.203261991;2.464444197;0.013722593;0.506013586;YY1 associated factor 2;;;;
ENSRNOG00000004908;Smc6;3419.320472;1.469557757;0.555382061;0.225175773;2.466437907;0.013646439;0.506013586;structural maintenance of chromosomes 6;;;;
ENSRNOG00000005332;Csdc2;1413.59882;0.708717032;-0.496718374;0.203117938;-2.44546779;0.014466437;0.506013586;cold shock domain containing C2;;;;
ENSRNOG00000006513;Borcs6;427.695641;0.663951274;-0.590850727;0.243327197;-2.428214906;0.015173349;0.506013586;BLOC-1 related complex subunit 6;;;;
ENSRNOG00000006545;Septin7;14257.33604;1.426499084;0.512478821;0.209250381;2.449117745;0.014320663;0.506013586;septin 7;;;;
ENSRNOG00000006789;Ddit3;565.6901035;1.340564173;0.422840283;0.173278682;2.440232563;0.014677809;0.506013586;DNA-damage inducible transcript 3;;;;
ENSRNOG00000007110;Ankrd6;3778.486845;0.814330646;-0.296313399;0.122087961;-2.42704847;0.015222222;0.506013586;ankyrin repeat domain 6;;;;
ENSRNOG00000007673;Ppig;5947.406566;1.48008828;0.565683228;0.233674603;2.420816039;0.015485712;0.506013586;peptidylprolyl isomerase G;;;;
ENSRNOG00000008034;Tmeff1;3494.852856;1.409628201;0.495314692;0.204685391;2.419882965;0.015525503;0.506013586;transmembrane protein with EGF-like and two follistatin-like domains 1;;;;
ENSRNOG00000008246;Emilin1;218.9083624;0.509068558;-0.974068134;0.394549342;-2.46881196;0.013556243;0.506013586;elastin microfibril interfacer 1;;;;
ENSRNOG00000009421;Ivd;1684.52754;0.734690639;-0.444791203;0.179702172;-2.475157628;0.013317738;0.506013586;isovaleryl-CoA dehydrogenase;;;;
ENSRNOG00000009575;Ubiad1;377.6427698;0.716486101;-0.480989378;0.197659743;-2.43342104;0.014956897;0.506013586;UbiA prenyltransferase domain containing 1;;;;
ENSRNOG00000010812;Osbpl6;3674.571208;1.301218801;0.379863573;0.155092125;2.449276987;0.014314332;0.506013586;oxysterol binding protein-like 6;;;;
ENSRNOG00000010880;Gpr27;56.93899898;0.465743069;-1.102393795;0.450209584;-2.448623563;0.014340323;0.506013586;G protein-coupled receptor 27;;;;
ENSRNOG00000010894;Tmem203;161.8292095;0.627587146;-0.67211229;0.276723022;-2.428826792;0.015147767;0.506013586;transmembrane protein 203;;;;
ENSRNOG00000011599;Gldc;1663.999502;0.725936573;-0.462084593;0.186250845;-2.48097984;0.013102178;0.506013586;glycine decarboxylase;;;;
ENSRNOG00000012294;Heph;273.962125;0.679555592;-0.557336518;0.226469095;-2.46098267;0.013855706;0.506013586;hephaestin;;;;
ENSRNOG00000012324;Soga3;4673.779457;1.290936501;0.368418038;0.150750252;2.443896663;0.014529588;0.506013586;SOGA family member 3;;;;
ENSRNOG00000013729;RGD1306271;6294.314557;1.26802476;0.342582917;0.138943445;2.465628493;0.013677311;0.506013586;similar to KIAA1549 protein;;;;
ENSRNOG00000014006;Neto1;4889.504474;1.280002632;0.356146777;0.143652554;2.47922343;0.01316688;0.506013586;neuropilin and tolloid like 1;;;;
ENSRNOG00000014252;Irf2bp1;804.156409;0.542246868;-0.882978279;0.358369068;-2.463879717;0.013744223;0.506013586;interferon regulatory factor 2 binding protein 1;;;;
ENSRNOG00000014297;Sdc4;1880.509653;0.739241074;-0.435883176;0.177001318;-2.462598468;0.013793429;0.506013586;syndecan 4;;;;
ENSRNOG00000015294;Paxx;860.6563211;0.615216903;-0.700832953;0.286983942;-2.442063304;0.014603586;0.506013586;PAXX; non-homologous end joining factor;;;
ENSRNOG00000015306;Slc9a4;88.31917966;0.473977921;-1.077108239;0.442471282;-2.434300898;0.014920586;0.506013586;solute carrier family 9 member A4;;;;
ENSRNOG00000015419;Spem1;2651.941298;0.619247751;-0.691411371;0.283770337;-2.436517423;0.014829455;0.506013586;spermatid maturation 1;;;;
ENSRNOG00000015567;Slc9a2;267.4927907;0.596669625;-0.744995761;0.308200161;-2.4172465;0.015638423;0.506013586;solute carrier family 9 member A2;;;;
ENSRNOG00000015576;Hsdl1;1584.131726;0.757268172;-0.401123802;0.165809044;-2.419191331;0.015555056;0.506013586;hydroxysteroid dehydrogenase like 1;;;;
ENSRNOG00000015599;Mall;50.05971406;0.451311164;-1.147805628;0.475981446;-2.411450358;0.015889215;0.506013586;mal; T-cell differentiation protein-like;;;
ENSRNOG00000015774;Mreg;148.5421279;0.649612752;-0.622348141;0.252529131;-2.464460785;0.013721958;0.506013586;melanoregulin;;;;
ENSRNOG00000016748;Poll;868.9378294;0.652793367;-0.615301696;0.254205861;-2.420485881;0.015499781;0.506013586;DNA polymerase lambda;;;;
ENSRNOG00000017087;Man1c1;1487.014292;0.71603178;-0.481904475;0.194412347;-2.478775051;0.013183442;0.506013586;mannosidase; alpha; class 1C; member 1;
ENSRNOG00000017359;Itm2c;17171.65554;0.646476073;-0.62933112;0.257914137;-2.440079969;0.014684011;0.506013586;integral membrane protein 2C;;;;
ENSRNOG00000017468;Trappc6a;164.1222334;0.59695593;-0.744303665;0.30437534;-2.445348121;0.014471238;0.506013586;trafficking protein particle complex subunit 6A;;;;
ENSRNOG00000018068;Ndufs6-ps1;173.8142445;0.62856456;-0.669867164;0.275050059;-2.435437267;0.014873803;0.506013586;NADH:ubiquinone oxidoreductase subunit S6; pseudogene 1;;;
ENSRNOG00000018334;Ctu1;150.6391957;0.621665859;-0.685788746;0.280235245;-2.447189484;0.014397513;0.506013586;cytosolic thiouridylase subunit 1;;;;
ENSRNOG00000018366;Cracdl;11331.97241;0.769460662;-0.378080524;0.153453182;-2.463816774;0.013746636;0.506013586;CRACD like;;;;
ENSRNOG00000018570;C1qtnf3;14.45230651;0.17705803;-2.497705824;1.028536254;-2.428408152;0.015165266;0.506013586;C1q and TNF related 3;;;;
ENSRNOG00000018709;Patz1;862.6738019;0.713922358;-0.486160912;0.19572035;-2.483956886;0.012993154;0.506013586;POZ (BTB) and AT hook containing zinc finger 1;;;;
ENSRNOG00000018765;Pold4;102.936182;0.601301684;-0.733839095;0.301015497;-2.437878121;0.014773754;0.506013586;DNA polymerase delta 4; accessory subunit;;;
ENSRNOG00000019027;Habp4;3570.542791;1.454597117;0.540619622;0.218073375;2.479072106;0.013172467;0.506013586;hyaluronan binding protein 4;;;;
ENSRNOG00000019582;Mthfd1l;1026.732036;0.723425592;-0.467083458;0.190354188;-2.453759815;0.014137137;0.506013586;methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like;;;;
ENSRNOG00000019813;Ppp4c;641.5613843;0.704786231;-0.504742356;0.207568664;-2.431688613;0.015028621;0.506013586;protein phosphatase 4; catalytic subunit;;;
ENSRNOG00000020248;Ina;9249.637848;1.39726898;0.482609772;0.195355264;2.470421137;0.013495407;0.506013586;internexin neuronal intermediate filament protein; alpha;;;
ENSRNOG00000020358;Ptov1;2328.930019;0.640830115;-0.641986147;0.264110446;-2.430748792;0.015067657;0.506013586;PTOV1; extended AT-hook containing adaptor protein;;;
ENSRNOG00000020505;Map4k1;111.2228247;0.575846049;-0.796244933;0.321770026;-2.474577706;0.01333938;0.506013586;mitogen activated protein kinase kinase kinase kinase 1;;;;
ENSRNOG00000020626;Snrnp25;305.4426353;0.657716368;-0.60446252;0.244977716;-2.467418387;0.013609124;0.506013586;small nuclear ribonucleoprotein U11/U12 subunit 25;;;;
ENSRNOG00000021400;Magee2;106.596741;0.609098441;-0.715252682;0.295892436;-2.417272617;0.015637301;0.506013586;MAGE family member E2;;;;
ENSRNOG00000024028;Sprr1a;22.16321736;2.62983334;1.394971375;0.56573034;2.465788516;0.013671203;0.506013586;small proline-rich protein 1A;;;;
ENSRNOG00000025715;Dynlrb1;6435.137609;1.432063496;0.518095461;0.208446293;2.485510556;0.012936575;0.506013586;dynein light chain roadblock-type 1;;;;
ENSRNOG00000028753;B9d2;341.1532861;0.697655726;-0.519412813;0.213213542;-2.436115494;0.014845944;0.506013586;B9 domain containing 2;;;;
ENSRNOG00000030351;LOC108348989;76.76076021;2.443454783;1.288922407;0.533502435;2.415963495;0.015693635;0.506013586;high mobility group protein B1 pseudogene;;;;
ENSRNOG00000030568;Rgs12;2337.566737;0.720831133;-0.472266771;0.195801566;-2.411966257;0.01586675;0.506013586;regulator of G-protein signaling 12;;;;
ENSRNOG00000031453;Manbal;1211.252028;0.728034786;-0.45792071;0.186452437;-2.455965277;0.014050673;0.506013586;mannosidase beta like;;;;
ENSRNOG00000032929;Incenp;699.7707276;1.306827994;0.386069265;0.156621623;2.46498061;0.013702067;0.506013586;inner centromere protein;;;;
ENSRNOG00000033262;Reep6;417.4626729;1.541279824;0.624128812;0.258930044;2.410414806;0.015934392;0.506013586;receptor accessory protein 6;;;;
ENSRNOG00000033881;Insyn2a;772.4658094;1.383024008;0.4678262;0.192134634;2.434887402;0.014896424;0.506013586;inhibitory synaptic factor 2A;;;;
ENSRNOG00000034234;COX1;1621244.011;1.540877229;0.623751919;0.254634015;2.449601713;0.014301431;0.506013586;cytochrome c oxidase subunit 1;;;;
ENSRNOG00000039596;Prob1;35.45703472;0.429550888;-1.219099041;0.500613402;-2.435210555;0.014883126;0.506013586;proline-rich basic protein 1;;;;
ENSRNOG00000039969;Dsc2;32.33372824;0.324604767;-1.623243908;0.672585898;-2.413437321;0.015802846;0.506013586;desmocollin 2;;;;
ENSRNOG00000042668;Msrb3;240.5413252;1.496497445;0.581589816;0.237211651;2.451775924;0.014215315;0.506013586;methionine sulfoxide reductase B3;;;;
ENSRNOG00000042886;Rps28;329.1188198;0.638248763;-0.647809259;0.267872342;-2.418350675;0.015591043;0.506013586;ribosomal protein S28;;;;
ENSRNOG00000046002;Micos13;1400.368608;0.697446027;-0.519846519;0.212089317;-2.451073572;0.014243084;0.506013586;mitochondrial contact site and cristae organizing system subunit 13;;;;
ENSRNOG00000046254;Adgre1;407.9521125;0.747608828;-0.41964449;0.173315342;-2.421277226;0.015466077;0.506013586;adhesion G protein-coupled receptor E1;;;;
ENSRNOG00000046984;St6galnac6;4405.248744;0.641149843;-0.641266527;0.265700146;-2.413497082;0.015800254;0.506013586;ST6 N-acetylgalactosaminide alpha-2;6-sialyltransferase 6;;;
ENSRNOG00000047957;Traf5;87.06385127;1.770038283;0.823780564;0.340999176;2.415784619;0.015701346;0.506013586;TNF receptor-associated factor 5;;;;
ENSRNOG00000048256;Fhip1a;221.7330017;0.530337451;-0.915017465;0.379508428;-2.411059671;0.015906246;0.506013586;FHF complex subunit HOOK interacting protein 1A;;;;
ENSRNOG00000050067;LOC100364509;477.3627315;0.640761034;-0.642141679;0.264690996;-2.426004998;0.01526606;0.506013586;ribosomal protein S9-like;;;;
ENSRNOG00000050500;Tob2;834.2657748;0.731132541;-0.45179513;0.186154116;-2.42699511;0.015224461;0.506013586;transducer of ERBB2;2;;;
ENSRNOG00000051420;Cables2;1693.85894;1.288184826;0.365339603;0.15086388;2.421650582;0.015450198;0.506013586;Cdk5 and Abl enzyme substrate 2;;;;
ENSRNOG00000052129;Nwd1;2550.380252;0.696124493;-0.522582759;0.213383932;-2.449025823;0.014324318;0.506013586;NACHT and WD repeat domain containing 1;;;;
ENSRNOG00000054080;Cgnl1;918.1852825;1.27535992;0.350904449;0.144220521;2.433110393;0.014969736;0.506013586;cingulin-like 1;;;;
ENSRNOG00000056714;Sla;103.021711;0.569637791;-0.811883233;0.336672937;-2.411489442;0.015887512;0.506013586;src-like adaptor;;;;
ENSRNOG00000058733;Asap1;10415.36686;1.275491618;0.351053418;0.145543035;2.412024856;0.0158642;0.506013586;ArfGAP with SH3 domain; ankyrin repeat and PH domain 1;;;
ENSRNOG00000059463;Slc39a1;1197.334037;0.692196638;-0.530746161;0.216243159;-2.454395149;0.014112181;0.506013586;solute carrier family 39 member 1;;;;
ENSRNOG00000059605;Ddn;40098.06767;0.652365502;-0.616247602;0.253663013;-2.429394787;0.015124054;0.506013586;dendrin;;;;
ENSRNOG00000062806;Bex4;266.7809462;0.597894679;-0.742036722;0.305376575;-2.42990715;0.015102691;0.506013586;brain expressed; X-linked 4;;;
ENSRNOG00000063031;Fam131a;5393.805533;0.64195058;-0.639465859;0.262983222;-2.431584246;0.015032952;0.506013586;family with sequence similarity 131; member A;;;
ENSRNOG00000065480;Gpr17;2584.815865;0.733036328;-0.448043397;0.184844875;-2.423888662;0.015355312;0.506013586;G protein-coupled receptor 17;;;;
ENSRNOG00000065694;NA;633.7755747;1.61522917;0.69173887;0.282051289;2.452528662;0.014185608;0.506013586;NA;;;;
ENSRNOG00000065863;Vmac;379.0529517;0.680304254;-0.555747984;0.230570557;-2.410316354;0.015938693;0.506013586;vimentin-type intermediate filament associated coiled-coil protein;;;;
ENSRNOG00000066637;Rps10l1;1432.480823;0.676985152;-0.562803903;0.230982306;-2.436567169;0.014827415;0.506013586;ribosomal protein S10-like 1;;;;
